,Pm02 blue,Pm05-707 blue,Pm06-506 green,Pm07-479 yellow,Pm09 yellow,Pm09-801 blue,Pm11 green,Pm12-426 green,Pm13-110 yellow,Pm25 yellow,Pm34 blue,Pm47 green,Max
S8MRS0010,2,1,2,1,1,1,2,2,1,1,2,4,4
S8MRS0074,1,1,0,1,1,1,1,1,1,1,2,2,2
S8MRS0089,2,2,0,2,2,1,1,1,1,2,2,4,4
S8MRS0204,1,0,0,0,1,1,1,1,1,1,2,2,2
S8MRS0256,1,1,0,1,1,1,1,1,1,2,2,2,2
S8MRS0259,1,1,0,1,1,1,1,1,1,2,2,2,2
S8MRS0277,1,1,0,1,1,1,1,2,1,1,2,2,2
S8MRS0307,2,3,2,2,2,2,1,2,2,2,2,4,4
S8MRS0370,0,0,0,0,0,0,0,0,0,0,0,0,0
S8MRS0443,1,1,0,1,1,1,1,1,1,1,2,2,2
S8MRS0488,1,1,0,1,1,1,1,1,1,1,2,2,2
S8MRS0515,2,1,1,1,1,1,1,2,2,2,2,1,2
S8MRS0533,1,1,0,1,1,1,1,1,1,2,2,2,2
S8MRS0569,1,2,0,1,1,1,1,1,1,1,2,0,2
S8MRS0581,1,2,1,2,1,1,1,1,1,1,2,2,2
S8MRS0588,1,1,1,1,1,0,1,1,1,1,2,3,3
S8MRS0602,1,1,1,2,1,1,1,2,1,1,2,2,2
S8MRS0648,0,1,0,1,0,2,1,1,0,0,2,0,2
S8MRS0656,1,1,0,1,1,1,1,1,1,2,0,2,2
S8MRS0901,2,1,0,2,1,1,1,2,1,3,2,4,4
S8MRS0910,1,1,1,1,1,1,1,1,1,1,1,1,1
S8MRS0928,1,1,0,1,1,1,1,1,1,1,2,2,2
S8MRS2149,1,1,0,1,1,1,1,1,1,2,2,2,2
S8MRS2217,0,1,0,0,1,1,1,0,1,0,2,3,3
S8MRS2282,1,1,2,1,1,1,2,1,1,2,2,2,2
S8MRS2473,1,1,1,1,1,1,1,1,1,1,2,2,2
S8MRS2517,1,1,0,1,1,1,1,1,1,2,2,2,2
