"Latitude","Longitude","Metric","Year","Value"
10.90908,-0.807506,"Mortality Rate",2010,183.43535484746099
10.90908,-0.807506,"Mortality Rate",2011,170.7369345240295
10.90908,-0.807506,"Mortality Rate",2012,161.03428788483143
10.90908,-0.807506,"Mortality Rate",2013,150.0302110798657
10.90908,-0.807506,"Mortality Rate",2014,139.8797845467925
10.90908,-0.807506,"Mortality Rate",2015,123.93408687785268
10.90908,-0.807506,"Mortality Rate",2016,109.99590158462524
10.90908,-0.807506,"Mortality Rate",2017,28.14045874401927
10.90908,-0.807506,"Mortality Rate",2018,25.55099781602621
10.90908,-0.807506,"Mortality Rate",2019,24.142523761838675
10.90908,-0.807506,"Mortality Rate",2020,24.861437850631773
10.90908,-0.807506,"Mortality Rate",2021,22.267017629928887
10.90908,-0.807506,"Mortality Rate",2022,23.032889293972403
10.90908,-0.807506,"Infection Prevalence",2010,64.9237871170044
10.90908,-0.807506,"Infection Prevalence",2011,59.88754630088806
10.90908,-0.807506,"Infection Prevalence",2012,40.15110433101654
10.90908,-0.807506,"Infection Prevalence",2013,19.932815432548523
10.90908,-0.807506,"Infection Prevalence",2014,11.229727417230606
10.90908,-0.807506,"Infection Prevalence",2015,9.182733297348022
10.90908,-0.807506,"Infection Prevalence",2016,8.728770166635513
10.90908,-0.807506,"Infection Prevalence",2017,7.5212448835372925
10.90908,-0.807506,"Infection Prevalence",2018,6.665189564228058
10.90908,-0.807506,"Infection Prevalence",2019,6.712387502193451
10.90908,-0.807506,"Infection Prevalence",2020,6.9732025265693665
10.90908,-0.807506,"Infection Prevalence",2021,6.445487588644028
10.90908,-0.807506,"Infection Prevalence",2022,8.847632259130478
10.90908,-0.807506,"Incidence Rate",2010,517.6652669906616
10.90908,-0.807506,"Incidence Rate",2011,510.44726371765137
10.90908,-0.807506,"Incidence Rate",2012,391.4847671985626
10.90908,-0.807506,"Incidence Rate",2013,242.67466366291046
10.90908,-0.807506,"Incidence Rate",2014,166.551411151886
10.90908,-0.807506,"Incidence Rate",2015,143.78222823143005
10.90908,-0.807506,"Incidence Rate",2016,137.14106380939484
10.90908,-0.807506,"Incidence Rate",2017,121.99436873197556
10.90908,-0.807506,"Incidence Rate",2018,110.76359450817108
10.90908,-0.807506,"Incidence Rate",2019,111.02045327425003
10.90908,-0.807506,"Incidence Rate",2020,115.57326465845108
10.90908,-0.807506,"Incidence Rate",2021,106.05157911777496
10.90908,-0.807506,"Incidence Rate",2022,132.033109664917
