IsolateID1	IsolateID2	PTS_score	label
S8MRS0063-WB1.MID1.P6.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.021505376344086	1uL
S8MRS0065-WB1.MID1.P7.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0481927710843374	1uL
S8MRS0074-WB1-R1.MID1.P8.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0149253731343284	1uL
S8MRS0089-WB1.MID5.P9.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.014760147601476	1uL
S8MRS0128-WB1-R1.MID1.P10.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0224719101123595	1uL
S8MRS0187-WB1.MID15.P2.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0196078431372549	1uL
S8MRS0190-WB1-R1.MID10.P3.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0526315789473684	1uL
S8MRS0228-WB1.MID10.P7.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0202020202020202	1uL
S8MRS0256-WB1.MID10.P9.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0119760479041916	1uL
S8MRS0257-WB1.MID15.P9.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0256410256410256	1uL
S8MRS0273-WB1.MID20.P3.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0191082802547771	1uL
S8MRS0307-WB1.MID24.P7.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.102040816326531	1uL
S8MRS0370-WB1.MID28.P1.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS0515-WB1.MID36.P2.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.00851063829787234	1uL
S8MRS0527-WB1.MID36.P4.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS0532-WB1.MID40.P4.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.027972027972028	1uL
S8MRS0569-WB1.MID36.P7.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0416666666666667	1uL
S8MRS0572-WB1.MID36.P8.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS0581-WB1-R1.MID36.P9.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0341880341880342	1uL
S8MRS0586-WB1.MID36.P10.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0188679245283019	1uL
S8MRS0633-WB1.MID48.P4.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.02	1uL
S8MRS0636-WB1.MID48.P5.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.036697247706422	1uL
S8MRS0655-WB1.MID48.P8.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0123456790123457	1uL
S8MRS0659-WB1.MID44.P10.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0425531914893617	1uL
S8MRS0660-WB1.MID48.P10.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.027027027027027	1uL
S8MRS0671-WB1.MID57.P1.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0119402985074627	1uL
S8MRS0686-WB1.MID57.P3.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS0690-WB1-R1.MID53.P4.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0392156862745098	1uL
S8MRS0735-WB1.MID57.P6.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0141843971631206	1uL
S8MRS0850-WB1.MID61.P1.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS0867-WB1-R1.MID61.P2.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0185185185185185	1uL
S8MRS0886-WB1-R1.MID61.P4.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
S8MRS0901-WB1.MID65.P5.nov22	S8MRS0010-WB1.MID5.P1.nov22	0.0251572327044025	1uL
S8MRS0904-WB1-R1.MID61.P6.nov22	S8MRS0010-WB1.MID5.P1.nov22	0	1uL
